user_id,age_group,dietary_restrictions,signup_date
user_0000,65+,None,2025-07-23 19:59:02.864172
user_0001,65+,Vegan,2024-12-10 19:59:02.864178
user_0002,26-35,Vegetarian,2023-07-25 19:59:02.864180
user_0003,18-25,Kosher,2023-07-21 19:59:02.864181
user_0004,56-65,None,2023-12-22 19:59:02.864182
user_0005,46-55,None,2025-07-18 19:59:02.864183
user_0006,18-25,Vegetarian,2024-12-22 19:59:02.864184
user_0007,56-65,Halal,2025-07-21 19:59:02.864185
user_0008,56-65,Vegetarian,2023-08-15 19:59:02.864186
user_0009,65+,Kosher,2024-02-06 19:59:02.864187
user_0010,46-55,Vegetarian,2024-05-15 19:59:02.864188
user_0011,56-65,Vegan,2023-05-12 19:59:02.864189
user_0012,18-25,Vegetarian,2023-09-03 19:59:02.864190
user_0013,46-55,Vegan,2024-11-06 19:59:02.864191
user_0014,26-35,Vegetarian,2023-06-28 19:59:02.864192
user_0015,36-45,None,2025-05-15 19:59:02.864193
user_0016,46-55,None,2024-08-15 19:59:02.864194
user_0017,36-45,Halal,2024-11-20 19:59:02.864195
user_0018,18-25,Kosher,2024-05-04 19:59:02.864196
user_0019,56-65,None,2023-01-16 19:59:02.864197
user_0020,46-55,None,2024-01-30 19:59:02.864198
user_0021,36-45,Kosher,2023-11-23 19:59:02.864199
user_0022,36-45,Halal,2025-02-02 19:59:02.864199
user_0023,65+,None,2025-07-02 19:59:02.864200
user_0024,65+,Vegetarian,2023-06-18 19:59:02.864201
user_0025,36-45,None,2023-03-26 19:59:02.864202
user_0026,26-35,None,2024-07-24 19:59:02.864203
user_0027,36-45,Gluten-free,2023-11-06 19:59:02.864204
user_0028,36-45,Vegetarian,2024-08-03 19:59:02.864205
user_0029,36-45,Vegetarian,2023-10-01 19:59:02.864206
user_0030,36-45,Kosher,2023-01-01 19:59:02.864207
user_0031,65+,Kosher,2025-06-05 19:59:02.864208
user_0032,56-65,Kosher,2025-02-23 19:59:02.864208
user_0033,56-65,Kosher,2024-12-10 19:59:02.864209
user_0034,26-35,Gluten-free,2024-07-25 19:59:02.864210
user_0035,36-45,Kosher,2023-09-13 19:59:02.864211
user_0036,56-65,Vegetarian,2023-09-16 19:59:02.864212
user_0037,36-45,None,2024-12-26 19:59:02.864213
user_0038,18-25,Vegan,2024-07-03 19:59:02.864214
